,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity,artist
4210,0.489,0.912,2,-6.381,1,0.271,0.0675,0.0067,0.353,0.517,187.756,187787,2016,24,St. Paul 
4212,0.592,0.97,11,-3.698,0,0.0826,5.87E-05,0.0103,0.138,0.815,134.995,180493,2016,39,The Struts
4213,0.571,0.967,9,-3.717,1,0.0716,0.00642,5.80E-06,0.227,0.712,161.962,213587,2016,62,Skillet
4214,0.529,0.645,0,-6.78,1,0.0377,0.0321,0.000947,0.0762,0.207,143.947,197173,2016,11,Tall Heights
4215,0.752,0.363,0,-8.689,1,0.0476,0.726,0,0.109,0.863,170.025,204971,2016,40,Young & Divine
4216,0.559,0.855,7,-2.658,1,0.0354,0.0502,0,0.239,0.263,121.812,175531,2016,0,BETSY
4217,0.578,0.844,2,-4.764,0,0.0482,0.0646,0.000358,0.114,0.409,100.05,211427,2016,45,Hayley Kiyoko
4218,0.58,0.649,0,-5.174,1,0.126,0.0139,1.67E-05,0.442,0.588,177.002,193220,2016,0,The Aston Shuffle
4219,0.602,0.873,4,-2.857,1,0.0322,0.0383,0,0.0932,0.723,137.998,208240,2016,2,Morgan Wallen
4220,0.556,0.212,10,-14.833,1,0.0362,0.929,0.359,0.109,0.398,79.26,168107,2016,6,Norah Jones
4221,0.554,0.774,7,-3.263,0,0.0488,0.25,0.000131,0.221,0.35,150.022,206413,2016,28,Prince Fox
4222,0.395,0.508,0,-8.616,1,0.0633,0.544,6.02E-06,0.0855,0.153,118.294,183907,2016,4,LOLO
4228,0.69,0.658,9,-9.786,0,0.0722,0.375,0.0888,0.0946,0.39,151.966,221813,2016,26,Watsky
4229,0.65,0.762,0,-5.518,1,0.0401,0.0919,0.001,0.107,0.452,93.032,217278,2016,4,A R I Z O N A
4230,0.599,0.733,2,-6.072,1,0.0415,0.0144,0,0.347,0.214,100,240147,2016,5,OneRepublic
4231,0.638,0.581,0,-6.365,1,0.0348,0.0738,0,0.277,0.552,87.965,211538,2016,30,Young & Divine
4232,0.469,0.369,8,-8.476,0,0.0439,0.645,0,0.0732,0.276,133.385,221680,2016,48,Stanaj
4233,0.885,0.467,1,-7.42,1,0.227,0.0512,0,0.115,0.232,96.983,205413,2016,23,Rae Sremmurd
4234,0.521,0.879,10,-4.255,0,0.0566,0.000785,0,0.666,0.714,129.056,231360,2016,0,Grouplove
4235,0.485,0.66,0,-5.704,0,0.0533,0.0064,0,0.134,0.397,75.06,189130,2016,0,Glades
4236,0.725,0.699,7,-6.376,0,0.0575,0.0152,0.0222,0.116,0.661,132.042,232490,2016,35,Felix Snow
4237,0.297,0.988,3,-4.211,0,0.115,0.00382,0.55,0.0902,0.136,176.404,223773,2016,2,Dinosaur Pile-Up
4238,0.656,0.806,1,-5.354,1,0.0433,0.0454,2.33E-05,0.341,0.572,149.975,185200,2016,47,Young the Giant
4239,0.638,0.817,10,-5.021,0,0.0636,0.0179,0,0.338,0.716,101.028,189467,2016,43,Saint Motel
4240,0.554,0.752,0,-8.086,1,0.0313,5.30E-05,0.237,0.104,0.385,118.95,253602,2016,48,Arkells
4241,0.733,0.866,6,-2.576,1,0.0346,0.00138,0.917,0.0594,0.759,124.014,278751,2016,0,Mr Sanka
4242,0.511,0.814,1,-3.185,1,0.046,0.00117,0,0.38,0.409,106.936,227549,2016,8,The Griswolds
4243,0.4,0.687,0,-6.481,1,0.0309,0.0242,1.53E-05,0.236,0.28,87.458,252133,2016,0,The Head and the Heart
4244,0.612,0.692,1,-6.47,0,0.0283,0.00536,6.58E-05,0.305,0.389,123.045,176980,2016,2,Bjonr
4245,0.529,0.72,9,-6.226,0,0.0462,0.0245,0.000146,0.195,0.105,105.015,214714,2016,0,Good Times Ahead
4246,0.276,0.796,0,-4.499,1,0.0579,0.00293,0,0.184,0.26,199.526,218965,2016,5,Porter Robinson
4247,0.633,0.816,9,-3.321,1,0.0615,0.104,0,0.371,0.812,136.068,250377,2016,30,Gavin DeGraw
4248,0.59,0.275,9,-7.644,1,0.0303,0.476,0,0.119,0.152,121.708,217067,2016,38,Colbie Caillat
