,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity
182,0.85,0.405,7,-7.509,0,0.225,0.119,0.000118,0.0707,0.344,139.976,190312,2016,71
183,0.755,0.618,7,-6.575,1,0.247,0.00456,0,0.343,0.159,138.014,305800,2011,41
184,0.738,0.75,9,-7.546,0,0.0989,0.156,0,0.287,0.925,100.062,253104,2016,0
185,0.557,0.428,5,-11.299,1,0.137,0.0673,0.0019,0.139,0.0996,103.009,378600,2014,61
186,0.533,0.674,1,-5.862,1,0.358,0.018,0,0.0906,0.602,213.737,278787,2009,35
187,0.805,0.54,11,-9.299,0,0.103,0.336,0,0.206,0.412,112.754,186027,2012,0
188,0.591,0.658,0,-5.881,0,0.195,0.182,0,0.615,0.623,81.933,212347,2010,48
189,0.482,0.698,6,-6.701,0,0.35,0.0924,0,0.0719,0.899,132.981,211853,2008,0
190,0.531,0.603,7,-6.242,1,0.0944,0.728,0,0.11,0.228,86.162,282027,2010,50
191,0.714,0.707,6,-5.828,1,0.38,0.413,0,0.125,0.554,95.023,161613,2016,1
192,0.826,0.589,5,-5.489,0,0.392,0.074,0,0.11,0.297,139.751,255139,2011,43
193,0.691,0.675,3,-5.612,0,0.146,0.345,0,0.229,0.925,73.024,252960,2010,42
194,0.865,0.553,1,-7.012,1,0.276,0.0788,3.17E-06,0.514,0.443,139.023,272453,2017,3
195,0.736,0.491,10,-6.892,0,0.439,0.0681,0,0.571,0.203,141.979,218674,2017,3
196,0.913,0.608,10,-6.839,0,0.234,0.0671,0,0.533,0.578,97.063,149569,2017,2
197,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,2017,17
198,0.735,0.373,11,-10.478,1,0.104,0.762,0.00202,0.288,0.237,123.081,107673,2017,2
199,0.781,0.721,5,-9.133,0,0.0514,0.0945,0.391,0.104,0.849,123.011,250337,2017,6
200,0.839,0.521,7,-10.45,1,0.166,0.245,0.00545,0.607,0.33,105.992,205163,2017,5
201,0.726,0.535,7,-7.804,0,0.0476,0.0533,1.38E-05,0.0984,0.375,98.067,216558,2017,5
202,0.61,0.229,11,-12.36,0,0.0333,0.558,0.0413,0.113,0.19,111.887,186293,2017,4
203,0.877,0.391,1,-8.196,1,0.063,0.0317,0.000502,0.0945,0.122,131.018,189230,2017,4
204,0.745,0.822,7,-6.354,1,0.252,0.0103,4.20E-06,0.155,0.415,86.733,143214,2017,2
205,0.925,0.443,1,-8.216,1,0.264,0.0172,0,0.276,0.35,136.078,236615,2017,6
206,0.903,0.439,8,-11.813,1,0.397,0.0407,0,0.138,0.532,139.112,307593,2017,2
207,0.766,0.234,11,-7.544,0,0.159,0.332,0.00156,0.358,0.256,96.882,153725,2017,1
208,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,219692,2017,7
209,0.875,0.6,1,-6.818,1,0.0435,0.0189,0.0143,0.132,0.0906,119.987,162638,2017,4
210,0.526,0.583,4,-9.172,1,0.376,0.699,0,0.372,0.378,89.835,305374,2017,2
211,0.856,0.572,1,-8.429,1,0.373,0.0136,1.55E-06,0.121,0.454,82.445,228438,2017,2
212,0.688,0.384,9,-8.824,0,0.375,0.2,0,0.708,0.432,162.097,206120,2017,2
213,0.468,0.266,0,-11.121,1,0.13,0.348,9.55E-06,0.209,0.222,153.292,368036,2017,1
214,0.928,0.481,9,-9.35,0,0.287,0.105,0,0.176,0.613,134.007,210937,2017,7
215,0.813,0.551,6,-7.605,0,0.353,0.08,0,0.386,0.598,124.957,250770,2017,2
216,0.618,0.693,7,-5.943,0,0.45,0.246,0,0.112,0.454,170.982,283551,2017,4
217,0.72,0.649,5,-5.187,0,0.239,0.317,0,0.0886,0.243,147.941,338920,2010,48
218,0.835,0.457,4,-7.455,0,0.204,0.138,1.96E-06,0.109,0.544,99.99,211274,2017,54
219,0.633,0.507,5,-12.488,0,0.0919,0.41,0.000117,0.113,0.749,106.967,254480,2013,0
220,0.398,0.642,4,-6.709,1,0.0658,0.0201,0.000108,0.213,0.298,117.286,129867,2013,0
221,0.435,0.527,9,-8.057,1,0.173,0.185,0,0.146,0.283,100.12,211427,2013,0
222,0.753,0.819,2,-4.797,1,0.198,0.0565,0,0.0607,0.532,103.008,261013,2013,0
223,0.519,0.852,1,-6.696,0,0.25,0.307,0,0.13,0.551,113.619,247667,2010,42
224,0.834,0.493,5,-6.567,0,0.128,0.0606,7.95E-05,0.0666,0.28,140.007,252017,2017,0
225,0.548,0.553,9,-10.328,1,0.457,0.254,0,0.111,0.874,84.24,306067,2009,0
226,0.654,0.684,4,-7.953,0,0.251,0.0771,0,0.314,0.665,79.994,187067,2009,0
227,0.432,0.681,6,-5.4,1,0.437,0.114,0,0.236,0.296,77.793,366400,2013,52
228,0.485,0.78,9,-5.261,0,0.142,0.149,0,0.0568,0.267,136.972,267373,2013,56
229,0.794,0.523,8,-7.829,1,0.161,0.0331,0,0.156,0.56,86.307,174120,2013,68
230,0.855,0.433,1,-8.447,0,0.15,0.0414,0,0.1,0.394,99.975,217600,2013,55
231,0.652,0.345,8,-11.319,0,0.119,0.0437,3.59E-05,0.297,0.304,103.281,252053,2013,55
232,0.777,0.778,9,-6.349,1,0.136,0.156,1.08E-06,0.196,0.437,109.925,270200,2013,58
233,0.737,0.494,1,-9.723,0,0.416,0.629,0,0.126,0.44,94.485,322160,2013,66
234,0.773,0.414,6,-7.436,0,0.0961,0.00411,3.37E-05,0.0733,0.289,99.993,227880,2013,73
235,0.685,0.489,6,-9.472,0,0.152,0.411,0,0.132,0.461,75.018,296400,2013,52
236,0.823,0.662,7,-8.426,1,0.318,0.0118,0,0.0805,0.533,120.117,224040,2013,55
237,0.519,0.487,4,-8.803,0,0.242,0.0515,0,0.15,0.126,112.281,255827,2013,49
238,0.668,0.565,6,-5.879,1,0.505,0.171,0,0.124,0.142,140.489,261867,2013,59
239,0.521,0.762,2,-6.746,1,0.529,0.138,1.11E-05,0.114,0.266,164.089,433800,2013,63
240,0.626,0.68,0,-7.64,1,0.112,0.517,0,0.114,0.227,75.978,222667,2013,46
241,0.461,0.812,10,-5.776,0,0.241,0.0184,0.000375,0.21,0.72,159.869,193902,2017,1
242,0.801,0.727,0,-4.687,1,0.0606,0.0864,0.00406,0.112,0.218,107.371,234373,2017,9
243,0.911,0.51,2,-10.786,1,0.185,0.0836,0.0658,0.0797,0.191,123.961,261733,2017,2
244,0.424,0.456,11,-12.316,0,0.0633,0.685,2.50E-05,0.101,0.593,81.579,253597,2017,0
245,0.632,0.376,11,-14.209,0,0.408,0.743,0,0.101,0.537,126.913,225776,2017,0
246,0.528,0.642,1,-8.156,1,0.321,0.131,0,0.389,0.725,83.246,149577,2017,0
247,0.388,0.488,11,-7.837,0,0.294,0.781,0,0.107,0.548,73.509,281678,2017,0
248,0.52,0.388,10,-12.32,0,0.311,0.52,0.000102,0.0954,0.129,172.118,251298,2017,0
249,0.558,0.747,11,-7.294,0,0.272,0.236,0,0.623,0.468,82.835,182126,2017,0
