danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,popularity
0.593,0.783,10,-4.716,1,0.0358,0.0165,7.26E-05,0.167,0.646,141.345,1976,64
0.528,0.737,9,-12.703,0,0.121,0.626,0.00911,0.325,0.632,99.361,1976,69
0.571,0.633,0,-12.942,1,0.0475,0.0504,1.64E-06,0.171,0.857,98.412,1976,69
0.694,0.578,4,-11.309,1,0.0713,0.31,0,0.179,0.907,122.446,1976,66
0.539,0.884,9,-6.53,1,0.0403,0.382,0.00166,0.76,0.752,100.812,1976,74
0.492,0.835,11,-8.072,1,0.0769,0.0635,2.09E-05,0.135,0.488,136.814,1976,67
0.65,0.759,1,-4.932,1,0.0355,0.353,0,0.155,0.943,121.454,1976,68
0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000211,0.297,0.382,141.47,1976,79
0.509,0.827,0,-7.715,1,0.079,0.0409,0,0.12,0.743,135.601,1976,70
0.51,0.894,2,-10.895,1,0.0507,0.00705,0.00539,0.266,0.644,119.321,1976,0
0.442,0.677,7,-7.725,0,0.0352,0.37,5.46E-05,0.134,0.206,129.889,1976,48
0.588,0.568,6,-9.766,1,0.0672,0.16,0,0.0792,0.952,106.938,1976,23
0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,1976,84
0.732,0.161,11,-12.817,1,0.0306,0.739,0.000379,0.105,0.5,95.21,1977,65
0.807,0.487,9,-10.456,1,0.0758,0.0102,1.98E-06,0.0501,0.651,148.491,1977,27
0.719,0.515,10,-9.72,1,0.348,0.0912,0,0.0791,0.927,76.518,1977,24
0.368,0.403,10,-12.699,1,0.0288,0.703,7.66E-06,0.202,0.338,135.384,1977,60
0.5,0.709,7,-12.36,0,0.211,0.196,0.00181,0.834,0.832,145.887,1977,53
0.685,0.685,11,-8.103,1,0.0254,0.173,0,0.201,0.925,106.987,1977,64
0.697,0.813,11,-8.89,0,0.0315,0.0989,0.0232,0.583,0.85,95.301,1977,71
0.388,0.338,10,-10.054,1,0.0328,0.652,3.72E-06,0.248,0.477,177.784,1977,82
0.597,0.812,5,-12.062,1,0.0315,0.0219,0.00106,0.102,0.823,135.68,1977,28
0.823,0.338,0,-15.899,1,0.0413,0.139,0.00129,0.5,0.785,120.473,1977,23
0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,1977,80
0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,1977,81
0.516,0.486,3,-11.81,0,0.0272,0.0987,1.48E-06,0.143,0.471,132.542,1977,70
0.547,0.691,4,-13.553,0,0.0369,0.015,0.105,0.144,0.667,137.148,1977,76
0.374,0.804,2,-9.209,1,0.0899,0.155,0,0.654,0.561,144.995,1977,60
0.806,0.462,2,-12.778,1,0.0298,0.78,0.0134,0.15,0.736,92.726,1977,72
0.68,0.617,2,-5.849,1,0.0378,0.731,0.0674,0.12,0.54,121.356,1977,49
0.488,0.411,7,-15.896,1,0.0255,0.719,0.0628,0.0688,0.584,105.446,1977,34
0.529,0.511,1,-9.37,1,0.0418,0.647,0.00724,0.0391,0.559,106.491,1977,67
0.478,0.774,7,-6.977,1,0.0292,0.000265,0.585,0.191,0.429,112.577,1977,25
0.455,0.582,9,-11.228,0,0.0357,0.0182,0.0442,0.384,0.66,117.335,1977,1
0.692,0.497,2,-7.316,1,0.119,0.676,0,0.259,0.475,81.308,1977,81
0.268,0.459,10,-6.94,1,0.0346,0.378,0,0.118,0.175,64.177,1977,78
0.704,0.735,10,-10.426,1,0.0594,0.28,0.149,0.475,0.681,105.182,1977,15
0.779,0.717,6,-9.7,0,0.0335,0.0125,0.0536,0.355,0.789,115.384,1978,77
0.837,0.455,5,-15.326,1,0.0354,0.0296,0.589,0.0398,0.922,114.762,1978,8
0.705,0.806,0,-4.83,1,0.0814,0.229,0,0.0676,0.763,117.945,1978,63
0.682,0.711,9,-7.637,0,0.0325,0.179,9.53E-05,0.126,0.766,129.546,1978,54
0.417,0.339,10,-13.487,1,0.0819,0.454,2.26E-05,0.135,0.719,165.451,1978,63
0.574,0.664,5,-11.5,1,0.0346,0.0737,0,0.22,0.936,122.956,1978,66
0.671,0.671,10,-11.894,1,0.0558,0.00589,0.00676,0.277,0.707,131.329,1978,54
0.704,0.834,10,-7.131,0,0.0358,0.0291,0.00492,0.147,0.923,103.555,1978,18
0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77E-06,0.659,0.869,133.849,1978,71
0.505,0.476,2,-12.897,1,0.0711,0.25,0.00915,0.113,0.542,99.31,1978,71
0.583,0.855,11,-7.972,0,0.0404,0.00417,0.144,0.237,0.664,122.425,1978,50
0.799,0.608,5,-8.193,1,0.0411,0.0811,0.0137,0.102,0.963,121.915,1978,66
0.619,0.579,4,-9.307,1,0.0473,0.0152,6.40E-05,0.0858,0.69,127.224,1978,72
0.607,0.662,4,-9.456,1,0.0278,0.0951,8.27E-05,0.125,0.629,107.643,1978,63
