,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity,artist
2217,0.701,0.101,0,-17.698,1,0.0407,0.882,0.00872,0.111,0.111,108.06,235000,2014,0,Jacob Allen
2228,0.514,0.235,0,-10.357,1,0.0341,0.73,1.12E-06,0.0778,0.191,113.936,368018,2014,18,PHOX
2229,0.307,0.278,0,-18.08,0,0.0352,0.901,0.729,0.0897,0.507,95.692,160000,2014,9,Ruu Campbell
2236,0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,151507,2014,57,Max Richter
2243,0.274,0.184,9,-12.48,1,0.0369,0.793,0.0109,0.311,0.0684,77.527,257332,2014,12,Bastard Mountain
2260,0.303,0.0533,1,-22.093,1,0.0367,0.67,0.899,0.112,0.0351,110.788,327621,2014,25,HTRK
2269,0.613,0.103,0,-22.224,1,0.0434,0.829,0.0147,0.708,0.159,75.928,174360,2014,11,Angus & Julia Stone
2270,0.637,0.292,4,-8.206,0,0.0375,0.745,0,0.305,0.4,127.015,277802,2014,61,Megan Davies
2279,0.585,0.428,9,-8.077,1,0.0276,0.00561,0,0.0703,0.222,127.069,222500,2014,39,Branches
2297,0.531,0.363,10,-7.672,1,0.0608,0.749,0,0.112,0.259,121.412,229720,2014,14,Hozier
2298,0.46,0.662,7,-7.224,0,0.0426,0.661,0.0142,0.111,0.132,139.959,198531,2014,31,Fjord
2299,0.681,0.284,11,-10.22,0,0.0259,0.8,1.30E-05,0.104,0.233,97.01,184253,2014,0,Bahari
2300,0.628,0.747,11,-6.448,0,0.0683,0.319,0.000628,0.0979,0.138,126.01,204573,2014,8,Broiler
2301,0.555,0.697,9,-6.283,1,0.0276,0.0709,0.379,0.151,0.332,121.991,238167,2014,26,Midnight Faces
2304,0.549,0.663,5,-7.555,0,0.0464,0.0309,0.888,0.0938,0.245,114.494,277560,2014,51,Tycho
2306,0.462,0.478,7,-8.16,1,0.0316,0.121,0,0.0655,0.183,109.948,302253,2014,0,Bruce Springsteen
2307,0.728,0.762,3,-4.798,1,0.0401,0.00664,0.00904,0.166,0.795,130.976,185227,2014,5,Chrissie Hynde
2319,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83E-06,0.159,0.625,103.009,193920,2014,12,Ariana Grande
2338,0.379,0.647,5,-7.72,0,0.197,0.214,0,0.125,0.342,217.648,204027,2014,57,Marlon Roudette
2342,0.614,0.972,5,-3.927,0,0.088,0.00125,0.0186,0.328,0.411,127.966,170625,2014,65,David Guetta
2349,0.519,0.657,7,-6.158,1,0.0291,0.294,7.33E-06,0.201,0.33,96.248,322173,2014,31,The Decemberists
2359,0.325,0.664,9,-4.45,1,0.0344,0.00119,0,0.187,0.367,135.883,231827,2014,32,Jenny Lewis
2362,0.343,0.878,1,-4.037,1,0.0713,0.000744,0.000273,0.228,0.467,163.925,189372,2014,31,Delta Spirit
2365,0.501,0.772,0,-7.097,1,0.0329,0.519,0.0633,0.125,0.316,113.698,223933,2014,43,Deer Tick
2368,0.538,0.716,0,-5.94,1,0.034,0.131,0.000234,0.182,0.53,118.32,281133,2014,0,Boy & Bear
2371,0.391,0.862,9,-7.639,1,0.045,0.00761,0.353,0.104,0.327,154.728,348227,2014,54,The War On Drugs
2389,0.48,0.826,0,-4.602,1,0.0397,0.000797,1.01E-06,0.125,0.687,96,222053,2014,9,WALK THE MOON
2408,0.418,0.764,5,-3.307,0,0.0559,0.00598,0,0.149,0.33,175.669,241493,2014,63,Sia
2420,0.787,0.848,1,-4.696,1,0.0549,0.0915,0,0.15,0.947,121.989,185640,2014,60,Olly Murs
2497,0.604,0.512,7,-5.045,1,0.0868,0.433,0,0.337,0.673,78.53,160840,2014,54,Straight No Chaser
2511,0.575,0.449,9,-11.141,1,0.038,0.845,0.0018,0.102,0.0925,131.997,160520,2014,35,Seafret
2517,0.28,0.317,7,-12.433,0,0.0468,0.877,0.00714,0.108,0.237,186.644,274227,2014,58,Amber Run
2518,0.33,0.452,9,-8.812,1,0.032,0.306,7.36E-06,0.0518,0.202,134.762,281907,2014,57,Amber Run
2519,0.514,0.773,8,-6.15,1,0.0524,0.0123,0.000922,0.165,0.323,125.095,211973,2014,29,Amber Run
2520,0.902,0.438,9,-8.63,0,0.0493,0.503,0.135,0.101,0.943,118.048,248520,2014,39,Angus & Julia Stone
2524,0.314,0.207,0,-14.707,1,0.0314,0.97,0.0046,0.0823,0.0524,76.529,253927,2014,4,Aquilo
2532,0.617,0.862,0,-4.555,1,0.0458,0.0182,1.33E-06,0.0865,0.472,86.981,187710,2014,50,Broods
2533,0.511,0.638,0,-7.202,1,0.0459,0.226,0,0.0609,0.205,60.03,208347,2014,50,Broods
2537,0.529,0.789,7,-4.132,0,0.0429,0.0134,0,0.152,0.551,147.941,183272,2014,0,Ella Eyre
2539,0.608,0.522,6,-8.445,0,0.0711,0.35,0.000197,0.104,0.443,111.961,220981,2014,1,AURORA
2653,0.692,0.703,0,-5.195,1,0.0308,0.108,0,0.109,0.496,124.989,213665,2014,50,Catey Shaw
2654,0.741,0.62,10,-7.621,1,0.0397,0.0134,0,0.0672,0.74,107.972,213641,2014,30,Catey Shaw
2674,0.453,0.771,4,-6.341,1,0.0273,0.00487,0.00188,0.271,0.794,93.193,249520,2014,45,Jenny Lewis
2675,0.354,0.356,7,-6.654,1,0.0273,0.53,1.82E-06,0.265,0.15,136.436,210707,2014,46,Jenny Lewis
2726,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65E-05,0.107,0.246,147.464,260533,2014,75,James Bay
