danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,popularity
0.376,0.466,10,-6.927,1,0.0353,0.514,5.80E-05,0.0781,0.276,199.835,2015,72
0.491,0.324,0,-6.703,1,0.0315,0.384,0,0.12,0.324,81.901,2015,39
0.507,0.553,9,-7.62,1,0.046,0.126,0.000175,0.087,0.181,130.072,2015,64
0.758,0.501,0,-7.051,1,0.0589,0.252,0,0.191,0.397,78.042,2015,35
0.618,0.921,0,-5.274,1,0.0735,0.00861,0,0.161,0.653,96.048,2015,60
0.515,0.869,11,-4.732,1,0.0672,0.00257,2.01E-06,0.21,0.452,93.24,2015,58
0.623,0.922,1,-3.013,1,0.0534,0.000815,0,0.069,0.681,135.976,2015,49
0.61,0.708,11,-4.3,0,0.0606,0.0095,3.14E-05,0.116,0.508,101.003,2015,41
0.586,0.637,8,-6.621,1,0.0274,0.00486,2.97E-06,0.112,0.343,88.025,2015,59
0.616,0.401,0,-7.318,1,0.0344,0.429,0,0.161,0.359,143.75,2015,61
0.555,0.533,5,-5.115,1,0.0259,0.00708,0,0.133,0.428,82.976,2015,55
0.489,0.803,2,-5.997,1,0.0301,0.0107,0,0.409,0.374,92.009,2015,52
0.647,0.714,6,-5.52,1,0.0285,0.00762,6.38E-05,0.296,0.697,129.987,2015,44
0.528,0.479,2,-6.85,1,0.0296,0.371,0,0.217,0.164,101.159,2015,53
0.696,0.839,4,-5.238,0,0.0539,0.0798,0,0.329,0.627,110.004,2015,46
0.644,0.745,0,-5.152,0,0.0313,0.143,0,0.103,0.551,98.673,2015,42
0.68,0.681,7,-6.581,0,0.0426,0.0306,0.00131,0.343,0.106,134.049,2015,29
0.766,0.656,2,-5.871,1,0.0801,0.0255,0.000159,0.0944,0.604,173.01,2015,31
0.383,0.616,5,-7.118,1,0.0515,0.314,7.21E-06,0.11,0.48,147.625,2015,74
0.572,0.906,2,-4.281,1,0.0502,0.0176,0,0.0492,0.371,99.993,2015,37
0.568,0.816,0,-3.928,1,0.0281,0.014,0.000231,0.155,0.31,125.033,2015,50
0.722,0.779,7,-4.67,1,0.0447,0.0135,0.000186,0.0767,0.822,125.03,2015,44
0.371,0.322,6,-8.08,1,0.033,0.78,0,0.115,0.344,178.727,2015,39
0.643,0.844,9,-3.687,1,0.0337,0.261,0,0.0925,0.793,104.993,2015,40
0.819,0.681,8,-6.423,1,0.0308,0.0336,2.08E-06,0.1,0.93,108.989,2015,54
0.596,0.832,2,-3.48,1,0.036,0.124,0,0.0467,0.873,111.112,2015,42
0.623,0.898,2,-4.685,1,0.0402,0.0586,1.77E-05,0.137,0.774,123.017,2015,36
0.27,0.475,7,-7.452,1,0.0296,0.242,1.29E-05,0.0525,0.175,102.477,2015,32
0.385,0.711,0,-5.736,1,0.0588,0.0167,0,0.11,0.331,187.717,2015,43
0.545,0.786,0,-3.92,1,0.034,0.000781,0,0.0877,0.68,135.02,2015,32
0.174,0.714,4,-2.215,1,0.0387,0.0543,4.42E-06,0.338,0.43,131.65,2015,28
0.61,0.589,2,-7.263,1,0.0415,0.859,1.44E-06,0.311,0.743,142.069,2015,28
0.735,0.586,2,-7.085,1,0.0319,0.0251,0.000403,0.0543,0.563,114.97,2015,29
0.291,0.474,2,-6.047,1,0.0289,0.0753,0.00699,0.0976,0.186,130.586,2015,30
0.518,0.508,9,-8.495,0,0.0325,0.831,0.125,0.114,0.169,94.072,2015,28
0.518,0.892,11,-4.249,1,0.221,0.0027,0,0.25,0.612,160.117,2015,41
0.484,0.276,3,-11.347,1,0.0428,0.831,0,0.105,0.298,160.97,2015,49
0.392,0.275,1,-11.326,1,0.0429,0.588,2.05E-05,0.103,0.245,53.674,2015,49
0.488,0.446,4,-10.547,1,0.0501,0.675,1.15E-05,0.102,0.401,125.107,2015,46
0.476,0.233,1,-13.48,1,0.0388,0.884,4.32E-05,0.118,0.181,147.504,2015,47
