,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Maroon 5,popularity
22,1,0.781,0.259,7,-9.204,1,0.0323,0.795,0,0.0993,0.331,111.9,2012,0.609961,0.202279,5.467,-7.188324,0.781,0.0252263,0.620895,0,0.0775533,0.258511,87.3939,1571.372,0.067081,1.813,-2.383836,0.259,0.0083657,0.205905,0,0.0257187,0.085729,28.9821,521.108,49,-64.428,7,0.2261,5.565,0,0.6951,2.317,783.3,14084,84.713616,-9.204,-0.2972892,-7.31718,0,-0.9139572,-3.046524,-1029.9276,-18518.448,1,0.0323,0.795,0,0.0993,0.331,111.9,2012,0.00104329,0.0256785,0,0.00320739,0.0106913,3.61437,64.9876,0.632025,0,0.0789435,0.263145,88.9605,1599.54,0,0,0,0,0,0.00986049,0.0328683,11.11167,199.7916,0.109561,37.0389,665.972,12521.61,225142.8,4048144,-17618.62622,-10349.16195,1,52
23,1,0.796,0.836,4,-4.19,0,0.0322,0.0163,2.72E-06,0.106,0.973,120.026,2012,0.633616,0.665456,3.184,-3.33524,0,0.0256312,0.0129748,2.17E-06,0.084376,0.774508,95.540696,1601.552,0.698896,3.344,-3.50284,0,0.0269192,0.0136268,2.27E-06,0.088616,0.813428,100.341736,1682.032,16,-16.76,0,0.1288,0.0652,1.09E-05,0.424,3.892,480.104,8048,17.5561,0,-0.134918,-0.068297,-1.14E-05,-0.44414,-4.07687,-502.90894,-8430.28,0,0,0,0,0,0,0,0,0.00103684,0.00052486,8.76E-08,0.0034132,0.0313306,3.8648372,64.7864,0.00026569,4.43E-08,0.0017278,0.0158599,1.9564238,32.7956,7.40E-12,2.88E-07,2.65E-06,0.000326471,0.00547264,0.011236,0.103138,12.722756,213.272,0.946729,116.785298,1957.676,14406.24068,241492.312,4048144,-1144.046843,-9458.876673,1,40
24,1,0.684,0.864,3,-4.05,0,0.0472,0.000877,0,0.0774,0.894,124.95,2012,0.467856,0.590976,2.052,-2.7702,0,0.0322848,0.000599868,0,0.0529416,0.611496,85.4658,1376.208,0.746496,2.592,-3.4992,0,0.0407808,0.000757728,0,0.0668736,0.772416,107.9568,1738.368,9,-12.15,0,0.1416,0.002631,0,0.2322,2.682,374.85,6036,16.4025,0,-0.19116,-0.00355185,0,-0.31347,-3.6207,-506.0475,-8148.6,0,0,0,0,0,0,0,0,0.00222784,4.14E-05,0,0.00365328,0.0421968,5.89764,94.9664,7.69E-07,0,6.79E-05,0.000784038,0.10958115,1.764524,0,0,0,0,0,0.00599076,0.0691956,9.67113,155.7288,0.799236,111.7053,1798.728,15612.5025,251399.4,4048144,8808.188365,-9260.798086,1,41
25,1,0.662,0.578,3,-2.637,1,0.0343,0.002,2.45E-06,0.104,0.404,168.04,2012,0.438244,0.382636,1.986,-1.745694,0.662,0.0227066,0.001324,1.62E-06,0.068848,0.267448,111.24248,1331.944,0.334084,1.734,-1.524186,0.578,0.0198254,0.001156,1.42E-06,0.060112,0.233512,97.12712,1162.936,9,-7.911,3,0.1029,0.006,7.35E-06,0.312,1.212,504.12,6036,6.953769,-2.637,-0.0904491,-0.005274,-6.46E-06,-0.274248,-1.065348,-443.12148,-5305.644,1,0.0343,0.002,2.45E-06,0.104,0.404,168.04,2012,0.00117649,6.86E-05,8.40E-08,0.0035672,0.0138572,5.763772,69.0116,4.00E-06,4.90E-09,0.000208,0.000808,0.33608,4.024,6.00E-12,2.55E-07,9.90E-07,0.000411698,0.0049294,0.010816,0.042016,17.47616,209.248,0.163216,67.88816,812.848,28237.4416,338096.48,4048144,96399.81946,-8317.615948,1,56
26,1,0.608,0.909,4,-3.638,0,0.0349,0.0516,0,0.111,0.617,137.04,2012,0.369664,0.552672,2.432,-2.211904,0,0.0212192,0.0313728,0,0.067488,0.375136,83.32032,1223.296,0.826281,3.636,-3.306942,0,0.0317241,0.0469044,0,0.100899,0.560853,124.56936,1828.908,16,-14.552,0,0.1396,0.2064,0,0.444,2.468,548.16,8048,13.235044,0,-0.1269662,-0.1877208,0,-0.403818,-2.244646,-498.55152,-7319.656,0,0,0,0,0,0,0,0,0.00121801,0.00180084,0,0.0038739,0.0215333,4.782696,70.2188,0.00266256,0,0.0057276,0.0318372,7.071264,103.8192,0,0,0,0,0,0.012321,0.068487,15.21144,223.332,0.380689,84.55368,1241.404,18779.9616,275724.48,4048144,33368.18925,-9095.752116,1,44
27,1,0.724,0.85,2,-4.221,1,0.238,0.0532,0,0.258,0.788,158.666,2012,0.524176,0.6154,1.448,-3.056004,0.724,0.172312,0.0385168,0,0.186792,0.570512,114.874184,1456.688,0.7225,1.7,-3.58785,0.85,0.2023,0.04522,0,0.2193,0.6698,134.8661,1710.2,4,-8.442,2,0.476,0.1064,0,0.516,1.576,317.332,4024,17.816841,-4.221,-1.004598,-0.2245572,0,-1.089018,-3.326148,-669.729186,-8492.652,1,0.238,0.0532,0,0.258,0.788,158.666,2012,0.056644,0.0126616,0,0.061404,0.187544,37.762508,478.856,0.00283024,0,0.0137256,0.0419216,8.4410312,107.0384,0,0,0,0,0,0.066564,0.203304,40.935828,519.096,0.620944,125.028808,1585.456,25174.89956,319235.992,4048144,77254.58596,-8538.806133,1,37
28,1,0.687,0.273,5,-9.259,1,0.0302,0.919,0,0.0978,0.539,110.45,2012,0.471969,0.187551,3.435,-6.360933,0.687,0.0207474,0.631353,0,0.0671886,0.370293,75.87915,1382.244,0.074529,1.365,-2.527707,0.273,0.0082446,0.250887,0,0.0266994,0.147147,30.15285,549.276,25,-46.295,5,0.151,4.595,0,0.489,2.695,552.25,10060,85.729081,-9.259,-0.2796218,-8.509021,0,-0.9055302,-4.990601,-1022.65655,-18629.108,1,0.0302,0.919,0,0.0978,0.539,110.45,2012,0.00091204,0.0277538,0,0.00295356,0.0162778,3.33559,60.7624,0.844561,0,0.0898782,0.495341,101.50355,1849.028,0,0,0,0,0,0.00956484,0.0527142,10.80201,196.7736,0.290521,59.53255,1084.468,12199.2025,222225.4,4048144,-20609.603,-10188.07101,1,40
29,1,0.704,0.81,4,-4.874,0,0.0425,0.000315,0,0.216,0.726,102.98,2010,0.495616,0.57024,2.816,-3.431296,0,0.02992,0.00022176,0,0.152064,0.511104,72.49792,1415.04,0.6561,3.24,-3.94794,0,0.034425,0.00025515,0,0.17496,0.58806,83.4138,1628.1,16,-19.496,0,0.17,0.00126,0,0.864,2.904,411.92,8040,23.755876,0,-0.207145,-0.00153531,0,-1.052784,-3.538524,-501.92452,-9796.74,0,0,0,0,0,0,0,0,0.00180625,1.34E-05,0,0.00918,0.030855,4.37665,85.425,9.92E-08,0,6.80E-05,0.00022869,0.0324387,0.63315,0,0,0,0,0,0.046656,0.156816,22.24368,434.16,0.527076,74.76348,1459.26,10604.8804,206989.8,4040100,-35928.44307,-1804.984798,1,61
30,1,0.753,0.824,0,-4.301,1,0.0385,0.000937,0.00018,0.141,0.937,117.95,2010,0.567009,0.620472,0,-3.238653,0.753,0.0289905,0.000705561,0.00013554,0.106173,0.705561,88.81635,1513.53,0.678976,0,-3.544024,0.824,0.031724,0.000772088,0.00014832,0.116184,0.772088,97.1908,1656.24,0,0,0,0,0,0,0,0,0,0,18.498601,-4.301,-0.1655885,-0.004030037,-0.00077418,-0.606441,-4.030037,-507.30295,-8645.01,1,0.0385,0.000937,0.00018,0.141,0.937,117.95,2010,0.00148225,3.61E-05,6.93E-06,0.0054285,0.0360745,4.541075,77.385,8.78E-07,1.69E-07,0.000132117,0.000877969,0.11051915,1.88337,3.24E-08,2.54E-05,0.00016866,0.021231,0.3618,0.019881,0.132117,16.63095,283.41,0.877969,110.51915,1883.37,13912.2025,237079.5,4040100,-5780.196456,-1100.682502,1,50
31,1,0.711,0.882,1,-2.772,0,0.0333,0.0171,0,0.111,0.813,119.991,2010,0.505521,0.627102,0.711,-1.970892,0,0.0236763,0.0121581,0,0.078921,0.578043,85.313601,1429.11,0.777924,0.882,-2.444904,0,0.0293706,0.0150822,0,0.097902,0.717066,105.832062,1772.82,1,-2.772,0,0.0333,0.0171,0,0.111,0.813,119.991,2010,7.683984,0,-0.0923076,-0.0474012,0,-0.307692,-2.253636,-332.615052,-5571.72,0,0,0,0,0,0,0,0,0.00110889,0.00056943,0,0.0036963,0.0270729,3.9957003,66.933,0.00029241,0,0.0018981,0.0139023,2.0518461,34.371,0,0,0,0,0,0.012321,0.090243,13.319001,223.11,0.660969,97.552683,1634.13,14397.84008,241181.91,4040100,-1585.145941,-1025.088428,1,41
